provision_id,source_type,part_chapter,article_section,title,verbatim_text_excerpt,simplified_explanation,keywords,landmark_case_1,lc1_year,lc1_holding_summary,landmark_case_2,lc2_year,lc2_holding_summary,upsc_relevance,category,enforcement_year,nodal_ministry,legal_classification,punishment_quantum,exceptions_and_limitations,cross_references,bench_strength,current_precedent_status,primary_source_url,current_law_mapping,row_status
IND-001,Constitution,Preamble,Preamble,Preamble of India,"WE, THE PEOPLE OF INDIA, having solemnly resolved to constitute India into a SOVEREIGN SOCIALIST SECULAR DEMOCRATIC REPUBLIC and to secure to all its citizens: JUSTICE, social, economic and political; LIBERTY of thought, expression, belief, faith and worship; EQUALITY of status and of opportunity; and to promote among them all FRATERNITY assuring the dignity of the individual and the unity and integrity of the Nation","The Preamble is the introduction to the Constitution. It declares India to be Sovereign (independent), Socialist (state-controlled mixed economy), Secular (no state religion), Democratic (people elect representatives), and Republic (elected head of state). It guarantees Justice, Liberty, Equality, and Fraternity to all citizens.","Preamble,Sovereign,Socialist,Secular,Democratic,Republic,Justice,Liberty,Equality,Fraternity",Kesavananda Bharati v. State of Kerala,1973.0,Preamble is part of the Constitution and can be amended but its basic structure cannot be altered,SR Bommai v. Union of India,1994.0,Secularism is a basic feature of the Constitution; misuse of religion in politics justifies President's Rule,High,Constitutional Philosophy,1973,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-002,Constitution,Part I - The Union and its Territory,Article 1,Name and Territory of the Union,"India, that is Bharat, shall be a Union of States",India is officially called India or Bharat. It is a Union of States — not a federation — meaning states cannot secede. The term 'Union' was deliberately used to show the indestructible nature of the country.,"Union of States,Bharat,India,Territory,Indestructible",In re Berubari Union,1960.0,Ceding territory to a foreign country requires constitutional amendment under Article 368,Rameshwar Prasad v. Union of India,2006.0,The expression Union of States reinforces that no state can claim the right to secede,High,Union and Territory,1960,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-003,Constitution,Part I - The Union and its Territory,Article 3,Formation of New States,"Parliament may by law form a new State by separation of territory from any State, or by uniting two or more States or parts of States or by uniting any territory to a part of any State","Parliament alone has the power to create new states, alter boundaries, or rename states. The concerned state legislature's opinion must be taken but is not binding on Parliament. No state's consent is required.","New States,Bifurcation,Reorganisation,Parliament,State Legislature",Babulal Parate v. State of Bombay,1960.0,State legislature's view is not binding on Parliament while reorganising states,In re Article 3 of the Constitution,1949.0,Parliament has plenary power to alter boundaries and form new states,High,Union and Territory,1960,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-004,Constitution,Part II - Citizenship,Article 5,Citizenship at commencement of Constitution,"At the commencement of this Constitution, every person who has his domicile in the territory of India and who was born in the territory of India shall be a citizen of India","At the time the Constitution came into force (26 Jan 1950), persons domiciled in India and born here, or whose parents were born here, or who had been resident for at least 5 years, became Indian citizens automatically.","Citizenship,Domicile,Birth,Commencement",Izhar Ahmad Khan v. Union of India,1962.0,Citizenship determined by domicile and birth as prescribed under Part II,State of UP v. Shah Mohammad,1969.0,Voluntary acquisition of citizenship of a foreign state terminates Indian citizenship,Medium,Citizenship,1950,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-005,Constitution,Part III - Fundamental Rights,Article 12,Definition of State,"In this Part, unless the context otherwise requires, 'the State' includes the Government and Parliament of India and the Government and the Legislature of each of the States and all local or other authorities within the territory of India or under the control of the Government of India","'State' for Fundamental Rights purposes includes not just Central and State governments but also local bodies, statutory corporations, government companies, and any authority exercising governmental functions. This broad definition ensures Fundamental Rights can be enforced against all arms of the state.","State,Fundamental Rights,Government,Authority,Enforcement",Ajay Hasia v. Khalid Mujib,1981.0,A body substantially financed and controlled by government is 'State' under Article 12,Pradeep Kumar Biswas v. Indian Institute of Chemical Biology,2002.0,Functional and financial test used to determine if an entity is 'State',High,Fundamental Rights,1981,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-006,Constitution,Part III - Fundamental Rights,Article 13,Laws inconsistent with Fundamental Rights,"All laws in force in the territory of India immediately before the commencement of this Constitution, in so far as they are inconsistent with the provisions of this Part, shall, to the extent of such inconsistency, be void","Any law (pre-constitutional or post-constitutional) that violates Fundamental Rights is void to the extent of inconsistency. Article 13 also includes ordinances, bye-laws, regulations, and notifications under its definition of 'law', ensuring comprehensive protection of Fundamental Rights.","Void,Inconsistency,Judicial Review,Law,Pre-constitutional Laws",Shankari Prasad v. Union of India,1951.0,Constitutional amendments are not 'law' under Article 13 and hence can abridge Fundamental Rights,Golak Nath v. State of Punjab,1967.0,Parliament cannot amend Fundamental Rights as amendments are 'law' under Article 13,High,Fundamental Rights,1951,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-007,Constitution,Part III - Fundamental Rights,Article 14,Right to Equality,The State shall not deny to any person equality before the law or the equal protection of the laws within the territory of India,Every person (citizen or non-citizen) is equal before the law and entitled to equal protection. Equality before law (British concept) means no one is above the law. Equal protection (American concept) means equals must be treated equally. Reasonable classification is permitted if based on intelligible differentia with rational nexus to the object.,"Equality,Intelligible Differentia,Rational Nexus,Reasonable Classification,Rule of Law",E.P. Royappa v. State of Tamil Nadu,1974.0,Article 14 strikes at arbitrariness; equality and non-arbitrariness are twin facets,Maneka Gandhi v. Union of India,1978.0,"Articles 14, 19, and 21 form a golden triangle; law must be non-arbitrary, fair and reasonable",High,Fundamental Rights - Right to Equality,1974,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-008,Constitution,Part III - Fundamental Rights,Article 15,Prohibition of discrimination,"The State shall not discriminate against any citizen on grounds only of religion, race, caste, sex, place of birth or any of them","The State cannot discriminate against citizens on grounds of religion, race, caste, sex, or place of birth alone. However, special provisions for women, children (Clause 3), and socially/educationally backward classes or SC/STs (Clause 4 & 5) are permitted as exceptions.","Discrimination,Religion,Race,Caste,Sex,Place of Birth,Protective Discrimination",Navtej Singh Johar v. Union of India,2018.0,Section 377 BNS struck down; sexual orientation is a ground covered under Article 15,Naz Foundation v. Govt of NCT of Delhi,2009.0,Discrimination based on sexual orientation violates Article 15,High,Fundamental Rights - Right to Equality,2018,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,"Permits special provisions for women and children, socially and educationally backward classes, Scheduled Castes/Scheduled Tribes, and economically weaker sections where constitutionally valid.",Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-009,Constitution,Part III - Fundamental Rights,Article 16,Equality of opportunity in public employment,There shall be equality of opportunity for all citizens in matters relating to employment or appointment to any office under the State,Every citizen has equal opportunity for government jobs. The State can provide reservations for backward classes if they are not adequately represented. Clause 4A allows reservations in promotion for SC/STs. The creamy layer concept has been applied by courts to OBC reservations.,"Public Employment,Reservation,Backward Classes,SC/ST,Creamy Layer,Promotion",Indra Sawhney v. Union of India,1992.0,50% cap on reservations upheld; creamy layer must be excluded; no reservation in promotion for OBCs,M. Nagaraj v. Union of India,2006.0,Parliament can provide reservations in promotion for SC/ST subject to quantifiable data on backwardness,High,Fundamental Rights - Right to Equality,1992,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,"Permits reservations/affirmative action under clauses 4, 4A, 4B and 6, subject to constitutional limits.",Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
IND-010,Constitution,Part III - Fundamental Rights,Article 17,Abolition of Untouchability,'Untouchability' is abolished and its practice in any form is forbidden. The enforcement of any disability arising out of 'Untouchability' shall be an offence punishable in accordance with law,"Untouchability in any form is constitutionally abolished. This right is enforceable against private individuals too, not just the State. The Protection of Civil Rights Act 1955 and SC/ST (Prevention of Atrocities) Act 1989 enforce this article.","Untouchability,Social Discrimination,SC/ST Atrocities,Civil Rights,Social Justice",People's Union for Democratic Rights v. Union of India,1982.0,Article 17 is enforceable against private individuals as well as the state,Devarajiah v. Padmanna,1958.0,Article 17 is a blanket prohibition and applies to all forms of untouchability,High,Fundamental Rights - Right to Equality,1955,Ministry of Law and Justice / Respective Ministry,Not applicable,Not applicable,Subject to applicable constitutional/statutory limitations.,Related constitutional/statutory provisions as applicable.,Legislative Enactment,In force,https://www.indiacode.nic.in/ / Supreme Court Archives,Constitutional / Statutory Mandate,Active
